Srcy1,Srcx1,Srcy2,Srcx2,Dsty1,Dstx1,Dsty2,Dstx2
23,306,200,307,11,306,189,346
200,307,333,217,189,346,342,260
333,217,376,9,342,260,391,24
18,517,146,395,29,512,149,390
146,395,311,377,149,390,338,358
311,377,458,238,338,358,483,206
458,238,542,36,483,206,573,17
157,564,218,464,164,545,260,440
218,464,490,405,260,440,475,415
490,405,818,327,475,415,784,268
818,327,877,28,784,268,958,34
352,675,412,584,344,657,422,554
412,584,481,517,422,554,488,521
481,517,648,482,488,521,652,441
648,482,924,503,652,441,905,490
461,684,656,688,483,659,625,661
656,688,784,693,625,661,807,695
784,693,1006,641,807,695,977,684
537,821,897,880,522,786,808,880
897,880,986,1012,808,880,986,1002
10,732,231,855,37,730,322,828
231,855,408,1021,322,828,448,1012
