Src1y,Src1x,Src2y,Src2x,Dst1y,Dst1x,Dst2y,Dst2x
91,284,109,254,111,393,120,354
113,254,147,258,120,351,162,322
150,258,176,272,167,322,218,341
89,289,100,321,110,394,147,436
102,323,139,336,150,437,208,436
145,270,142,280,181,349,179,370
138,294,134,308,184,392,194,412
143,405,210,441,129,446,164,479
214,442,241,449,165,479,184,489
266,366,321,360,278,419,339,417
241,247,330,241,266,330,354,327
200,244,231,201,248,306,293,287
280,123,232,199,337,210,297,286
281,237,326,153,304,320,376,241
589,415,624,428,513,362,506,388
627,428,680,424,506,390,529,433
605,375,684,391,545,339,559,436
581,237,632,207,588,293,658,274
570,197,619,179,598,249,657,246
538,216,570,196,547,278,597,249
622,179,634,207,657,245,660,275
685,392,682,424,558,437,529,434
579,236,553,256,586,294,553,314
328,360,422,394,347,418,430,458
451,222,534,214,460,304,545,281
